model,scheduler,img_res,initial_lr,augmentation,max_train_acc,max_val_acc,test_acc
mini,constant,30,0.001,simple,0.8054918050765991,0.6188775300979614,0.7358896683673469
mini,constant,30,0.001,simple,0.7838419675827026,0.5971938967704773,0.7161192602040817
mini,constant,30,0.001,simple,0.7999376654624939,0.6198979616165161,0.7311065051020409
mini,constant,30,0.001,simple,0.8000510334968567,0.6056122183799744,0.7198660714285714
mini,constant,30,0.001,simple,0.7912663817405701,0.6102041006088257,0.7177136479591837
v0,constant,30,0.001,simple,0.9408031105995178,0.7752550840377808,0.9024234693877552
v0,constant,30,0.001,simple,0.9349939227104188,0.761734664440155,0.8883131377551021
v0,constant,30,0.001,simple,0.955680251121521,0.7839285731315613,0.9066485969387756
v0,constant,30,0.001,simple,0.9422199726104736,0.7670918107032776,0.9041772959183674
v0,constant,30,0.001,simple,0.9435518383979796,0.768367350101471,0.9031409438775512
v0.1,constant,30,0.001,simple,0.85256028175354,0.6862244606018066,0.8547512755102041
v0.1,constant,30,0.001,simple,0.8445691466331482,0.6795918345451355,0.8517219387755103
v0.1,constant,30,0.001,simple,0.8651137948036194,0.7073979377746582,0.8710140306122449
v0.1,constant,30,0.001,simple,0.8438040018081665,0.6897959113121033,0.8577008928571428
v0.1,constant,30,0.001,simple,0.8279634118080139,0.6576530337333679,0.8388871173469387
v0.2,constant,30,0.001,simple,0.9161778688430786,0.7448979616165161,0.88671875
v0.2,constant,30,0.001,simple,0.9182748198509216,0.7331632375717163,0.8840082908163265
v0.2,constant,30,0.001,simple,0.930034875869751,0.7545918226242065,0.8954878826530613
v0.2,constant,30,0.001,simple,0.915044367313385,0.7318877577781677,0.8924585459183674
v0.2,constant,30,0.001,simple,0.9158661365509032,0.7237244844436646,0.8943718112244897
v0.4,constant,30,0.001,simple,0.9148460030555724,0.7987244725227356,0.8958864795918368
v0.4,constant,30,0.001,simple,0.8996004462242126,0.768367350101471,0.8841677295918368
v0.4,constant,30,0.001,simple,0.8941596746444702,0.7566326260566711,0.8919005102040817
v0.4,constant,30,0.001,simple,0.9033409953117372,0.7727040648460388,0.8902264030612244
v0.4,constant,30,0.001,simple,0.8769588470458984,0.7448979616165161,0.8784279336734694
v1,constant,30,0.001,simple,0.7847771048545837,0.6135203838348389,0.8232621173469387
v1,constant,30,0.001,simple,0.8463543653488159,0.7091836929321289,0.8705357142857143
v1,constant,30,0.001,simple,0.790756344795227,0.6433673501014711,0.8463807397959183
v1,constant,30,0.001,simple,0.7978973388671875,0.6405612230300903,0.8316326530612244
v1,constant,30,0.001,simple,0.8022896647453308,0.6413265466690063,0.8421556122448979
v2,constant,30,0.001,simple,0.6876646876335144,0.5216836929321289,0.7216198979591837
v2,constant,30,0.001,simple,0.7033069729804993,0.5512754917144775,0.7510363520408163
v2,constant,30,0.001,simple,0.6268242001533508,0.4811224341392517,0.6908482142857143
v2,constant,30,0.001,simple,0.6671767234802246,0.5257652997970581,0.7354113520408163
v2,constant,30,0.001,simple,0.6775199174880981,0.5426020622253418,0.7449776785714286
v3,constant,30,0.001,simple,0.7770693302154541,0.6316326260566711,0.8186383928571428
v3,constant,30,0.001,simple,0.7634390592575073,0.5966836810112,0.8194355867346939
v3,constant,30,0.001,simple,0.7053756117820741,0.5346938967704773,0.7629942602040817
v3,constant,30,0.001,simple,0.7627872824668884,0.6002551317214966,0.8049266581632653
v3,constant,30,0.001,simple,0.7846637964248657,0.6497448682785034,0.8219866071428572
mod,constant,30,0.001,simple,0.7134518027305603,0.7311224341392517,0.8803411989795918
mod,constant,30,0.001,simple,0.7041571140289307,0.7089285850524902,0.8708545918367347
mod,constant,30,0.001,simple,0.7042987942695618,0.7247449159622192,0.8691804846938775
